FE16216353,PS96,SD33,0.6138035
FE16216354,PS96,SD34,0.6290561
FE16216355,PS96,SD35,0.618812
FE16216356,PS96,SD36,0.6163592
FE16216357,PS96,SD37,0.618733
FE16216358,PS96,SD38,0.6262015
FE16216359,PS96,SD39,0.6224899
FE16216360,PS96,SD40,0.6296276
FE16216361,PS96,SD41,0.6211188
FE16216362,PS96,SD42,0.6258298
FE16216363,PS96,SD43,0.6309827
FE16216364,PS96,SD44,0.6225053
FE16216365,PS96,SD45,0.6289873
FE16216366,PS96,SD46,0.6177619
FE16216367,PS96,SD47,0.6272598
FE16216368,PS96,SD48,0.6203072
FE16216369,PS96,SD49,0.6178195
FE16216370,PS96,SD50,0.628392
FE16216371,PS96,SD51,0.6336253
FE16216372,PS96,SD52,0.6273678
FE16216373,PS96,SD53,0.633881
FE16216374,PS96,SD54,0.6292811
FE16216375,PS96,SD55,0.6344667
FE16216376,PS96,SD56,0.6450102
FE16216377,PS96,SD57,0.6265071
FE16216378,PS96,SD58,0.6336141
FE16216379,PS96,SD59,0.6301568
FE16216380,PS96,SD60,0.6281095
FE16216381,PS96,SD61,0.6298443
FE16216382,PS96,SD62,0.6270657
FE16216383,PS96,SD63,0.6326791
FE16216384,PS96,SD64,0.6195077
FE16216385,PS96,SD65,0.6238518
FE16216386,PS96,SD66,0.6329785
FE16216387,PS96,SD67,0.629349
FE16216388,PS96,SD68,0.6364749
